Date,Open,High,Low,Close,Adj Close,Volume
2018-04-18,47.910000,48.310001,47.840000,48.139999,43.171364,80289500
2018-04-19,48.259998,48.290001,47.700001,47.860001,42.920261,67581100
2018-04-20,47.590000,47.619999,47.049999,47.259998,42.382191,80997700
2018-04-23,47.169998,47.299999,46.779999,46.880001,42.041412,74337500
2018-04-24,47.259998,47.360001,46.430000,46.660000,41.844120,72196800
2018-04-25,46.310001,46.410000,46.009998,46.299999,41.521278,69106800
2018-04-26,46.570000,47.000000,46.540001,46.970001,42.122124,45047800
2018-04-27,47.240002,47.340000,46.970001,47.259998,42.382191,33545000
2018-04-30,47.430000,47.490002,46.910000,46.919998,42.077282,49179000
2018-05-01,46.639999,46.759998,46.099998,46.689999,41.871025,75839300
2018-05-02,46.740002,46.840000,46.279999,46.320000,41.539207,66837900
2018-05-03,46.290001,46.349998,45.599998,46.220001,41.449532,83449200
2018-05-04,45.770000,46.590000,45.730000,46.430000,41.637859,60099100
2018-05-07,46.049999,46.349998,46.020000,46.160000,41.395725,58886100
2018-05-08,46.270000,46.439999,45.980000,46.419998,41.628883,58783600
2018-05-09,46.560001,46.610001,46.270000,46.509998,41.709602,46129500
2018-05-10,47.070000,47.650002,46.990002,47.480000,42.579483,115804000
2018-05-11,47.680000,47.730000,47.279999,47.400002,42.507748,68838600
2018-05-14,47.660000,47.779999,47.389999,47.459999,42.561546,34353300
2018-05-15,46.580002,46.700001,46.279999,46.480000,41.682697,78379300
2018-05-16,46.919998,47.270000,46.919998,47.180000,42.310444,60004200
2018-05-17,46.669998,46.799999,46.310001,46.459999,41.664761,73014000
2018-05-18,46.049999,46.189999,45.939999,46.070000,41.315010,59258700
2018-05-21,46.450001,46.540001,46.160000,46.349998,41.566116,59330200
2018-05-22,46.549999,46.750000,46.450001,46.509998,41.709602,32584700
2018-05-23,45.959999,46.529999,45.950001,46.490002,41.691662,70687800
2018-05-24,46.240002,46.330002,45.730000,46.240002,41.467468,79762900
2018-05-25,46.230000,46.500000,46.189999,46.430000,41.637859,39374500
2018-05-29,45.740002,45.880001,45.119999,45.349998,40.669323,112089900
2018-05-30,45.360001,45.759998,45.160000,45.709999,40.992168,72813800
2018-05-31,45.650002,45.919998,45.459999,45.689999,40.974232,92066200
2018-06-01,46.060001,46.349998,46.000000,46.330002,41.548180,66762200
2018-06-04,46.720001,46.910000,46.700001,46.799999,41.969673,36302900
2018-06-05,46.660000,46.740002,46.419998,46.439999,41.646824,40092200
2018-06-06,46.840000,47.150002,46.740002,47.139999,42.274582,46801500
2018-06-07,46.970001,47.020000,46.130001,46.419998,41.628883,89752500
2018-06-08,46.169998,46.529999,45.990002,46.330002,41.548180,73944700
2018-06-11,46.380001,46.500000,46.259998,46.330002,41.548180,38323500
2018-06-12,46.310001,46.369999,46.029999,46.209999,41.440563,57189800
2018-06-13,46.290001,46.360001,45.619999,45.900002,41.162560,100698800
2018-06-14,45.900002,45.990002,45.540001,45.590000,40.884556,76094800
2018-06-15,45.169998,45.290001,44.919998,45.230000,40.561707,86066000
2018-06-18,44.590000,44.740002,44.340000,44.680000,40.068481,83532600
2018-06-19,43.570000,43.990002,43.410000,43.900002,39.626186,122657600
2018-06-20,44.299999,44.360001,44.040001,44.090000,39.797688,69822800
2018-06-21,43.820000,43.840000,43.410000,43.470001,39.238045,86214100
2018-06-22,44.099998,44.119999,43.770000,43.919998,39.644238,48711000
2018-06-25,43.509998,43.560001,42.900002,43.330002,39.111683,110854500
2018-06-26,43.349998,43.430000,43.049999,43.160000,38.958225,69228700
2018-06-27,43.099998,43.110001,42.200001,42.330002,38.209026,95340400
2018-06-28,42.290001,42.709999,42.150002,42.689999,38.533974,105345300
2018-06-29,43.240002,43.450001,43.200001,43.330002,39.111683,108877000
2018-07-02,42.619999,42.970001,42.529999,42.900002,38.723534,78848700
2018-07-03,43.180000,43.220001,42.869999,42.930000,38.750614,28637200
2018-07-05,43.049999,43.090000,42.650002,42.820000,38.651325,67394400
2018-07-06,42.950001,43.580002,42.919998,43.410000,39.183884,69933900
2018-07-09,44.009998,44.200001,43.790001,44.189999,39.887951,80552700
2018-07-10,44.049999,44.110001,43.740002,44.090000,39.797688,63808300
2018-07-11,43.369999,43.580002,43.060001,43.230000,39.021412,58679200
2018-07-12,43.759998,43.919998,43.599998,43.820000,39.553970,53833300
2018-07-13,43.770000,43.950001,43.619999,43.849998,39.581047,40515300
2018-07-16,43.639999,43.700001,43.450001,43.610001,39.364418,31717300
2018-07-17,43.439999,44.009998,43.389999,43.930000,39.653267,46911500
2018-07-18,43.689999,43.919998,43.560001,43.880001,39.608128,41182100
2018-07-19,43.200001,43.529999,43.060001,43.340000,39.120701,72549300
2018-07-20,43.770000,44.040001,43.740002,43.959999,39.680340,75114300
2018-07-23,43.759998,43.779999,43.529999,43.669998,39.418571,57679100
2018-07-24,44.389999,44.570000,44.180000,44.310001,39.996273,66639400
2018-07-25,44.599998,45.060001,44.480000,45.029999,40.646175,77820500
2018-07-26,44.650002,44.779999,44.500000,44.529999,40.194851,68705800
2018-07-27,44.860001,44.950001,44.450001,44.689999,40.339272,63743400
2018-07-30,44.790001,44.860001,44.490002,44.619999,40.276085,41541400
2018-07-31,44.619999,44.930000,44.509998,44.860001,40.492729,88217500
2018-08-01,44.470001,44.689999,44.340000,44.459999,40.131664,61755000
2018-08-02,43.549999,43.939999,43.459999,43.869999,39.599094,68678600
2018-08-03,44.020000,44.259998,43.970001,44.209999,39.906002,41043800
2018-08-06,43.889999,44.020000,43.770000,43.869999,39.599094,33153800
2018-08-07,44.380001,44.549999,44.299999,44.320000,40.005291,38719500
2018-08-08,44.230000,44.320000,44.090000,44.259998,39.951130,30610200
2018-08-09,44.320000,44.419998,44.099998,44.130001,39.833786,35013900
2018-08-10,43.139999,43.330002,43.049999,43.189999,38.985302,86629900
2018-08-13,42.790001,42.889999,42.369999,42.480000,38.344421,75183500
2018-08-14,42.639999,42.860001,42.560001,42.740002,38.579113,56724600
2018-08-15,41.540001,41.709999,41.130001,41.509998,37.468857,138633600
2018-08-16,41.919998,42.110001,41.750000,41.770000,37.703545,78123900
2018-08-17,41.619999,42.310001,41.520000,42.209999,38.100708,76030400
2018-08-20,42.310001,42.439999,42.169998,42.400002,38.272213,50762900
2018-08-21,42.830002,43.110001,42.799999,42.939999,38.759640,70462300
2018-08-22,42.980000,43.349998,42.980000,43.279999,39.066544,45602900
2018-08-23,43.130001,43.259998,42.529999,42.580002,38.434689,68878400
2018-08-24,43.220001,43.400002,43.080002,43.369999,39.147774,69304200
2018-08-27,43.770000,44.160000,43.759998,43.990002,39.707420,96574800
2018-08-28,44.110001,44.180000,43.740002,43.830002,39.562996,50093400
2018-08-29,43.730000,44.119999,43.639999,44.099998,39.806709,58165600
2018-08-30,43.419998,43.419998,42.799999,42.950001,38.768665,120206400
2018-08-31,42.889999,43.310001,42.840000,43.169998,38.967247,88660500
2018-09-04,42.490002,42.490002,42.230000,42.330002,38.209026,76724700
2018-09-05,41.840000,41.910000,41.590000,41.720001,37.658409,77835800
2018-09-06,41.799999,41.910000,41.480000,41.759998,37.694515,73104400
2018-09-07,41.630001,41.939999,41.389999,41.549999,37.504963,61590700
2018-09-10,41.540001,41.540001,41.090000,41.139999,37.134876,61116600
2018-09-11,40.740002,41.240002,40.630001,41.230000,37.216114,74608700
2018-09-12,41.040001,41.689999,40.889999,41.439999,37.405666,116612700
2018-09-13,42.060001,42.279999,41.810001,42.000000,37.911156,96306500
2018-09-14,42.230000,42.279999,41.759998,41.959999,37.875046,65202700
2018-09-17,41.650002,41.810001,41.520000,41.580002,37.532047,74603900
2018-09-18,41.779999,42.049999,41.770000,41.980000,37.893101,52000700
2018-09-19,42.330002,42.610001,42.320000,42.560001,38.416637,55892400
2018-09-20,42.930000,43.060001,42.689999,43.029999,38.840874,93427400
2018-09-21,43.090000,43.299999,43.029999,43.230000,39.021412,102750700
2018-09-24,42.730000,42.790001,42.590000,42.740002,38.579113,54411700
2018-09-25,42.810001,43.009998,42.759998,42.910000,38.732559,49467000
2018-09-26,42.980000,43.509998,42.939999,43.000000,38.813801,84080400
2018-09-27,43.130001,43.349998,43.090000,43.209999,39.003361,45547200
2018-09-28,42.889999,43.150002,42.779999,42.919998,38.741581,64732800
2018-10-01,43.130001,43.160000,42.830002,42.930000,38.750614,31030500
2018-10-02,42.369999,42.599998,42.259998,42.389999,38.263191,57719700
2018-10-03,42.689999,42.720001,41.919998,42.040001,37.947262,76571200
2018-10-04,41.610001,41.619999,40.810001,40.990002,36.999489,132360900
2018-10-05,41.009998,41.080002,40.459999,40.840000,36.864086,80578500
2018-10-08,40.560001,40.990002,40.480000,40.900002,36.918247,59744400
2018-10-09,40.570000,40.959999,40.430000,40.750000,36.782852,60976800
2018-10-10,40.540001,40.549999,39.529999,39.540001,35.690643,99036700
2018-10-11,39.320000,39.740002,38.770000,39.139999,35.329582,168923800
2018-10-12,40.259998,40.360001,39.740002,40.290001,36.367634,116892100
2018-10-15,39.939999,40.139999,39.779999,39.860001,35.979492,52651000
2018-10-16,40.360001,40.900002,40.290001,40.860001,36.882137,65949500
2018-10-17,40.549999,40.580002,40.160000,40.360001,36.430813,69718700
2018-10-18,39.930000,39.959999,39.160000,39.299999,35.474010,107005100
2018-10-19,39.910000,40.160000,39.580002,39.669998,35.807987,81176200
2018-10-22,40.340000,40.419998,39.919998,40.099998,36.196125,67724900
2018-10-23,39.150002,39.889999,38.930000,39.660000,35.798962,89864600
2018-10-24,39.459999,39.509998,38.360001,38.380001,34.643574,87632500
2018-10-25,38.820000,39.389999,38.709999,39.119999,35.311527,80961600
2018-10-26,38.310001,38.970001,38.139999,38.669998,34.905334,139198800
2018-10-29,39.009998,39.070000,37.580002,38.000000,34.300571,102322800
