Date,Open,High,Low,Close,Adj Close,Volume
2018-04-18,121.290001,121.339996,120.279999,120.300003,108.338760,8138400
2018-04-19,119.419998,119.529999,118.809998,119.320000,107.456192,9875800
2018-04-20,118.889999,119.129997,118.430000,118.459999,106.681732,7579400
2018-04-23,118.330002,118.620003,118.080002,118.489998,106.708748,7073200
2018-04-24,118.209999,118.449997,117.760002,117.949997,106.222412,8190800
2018-04-25,117.410004,117.650002,116.940002,117.160004,105.510994,6603800
2018-04-26,117.730003,118.129997,117.589996,117.980003,106.249458,6528600
2018-04-27,118.470001,118.949997,118.440002,118.889999,107.068970,5401800
2018-04-30,119.080002,119.559998,118.940002,119.099998,107.258110,8321100
2018-05-01,118.769997,118.839996,118.230003,118.410004,106.871788,7979200
2018-05-02,118.639999,118.870003,118.260002,118.279999,106.754494,4644000
2018-05-03,118.839996,119.309998,118.680000,118.809998,107.232834,6345300
2018-05-04,119.230003,119.230003,118.489998,118.989998,107.395271,4283500
2018-05-07,118.970001,119.019997,118.739998,118.800003,107.223770,3647800
2018-05-08,118.550003,119.000000,118.300003,118.690002,107.124496,6091200
2018-05-09,118.120003,118.419998,117.980003,117.980003,106.483727,7832500
2018-05-10,118.550003,118.980003,118.349998,118.930000,107.341118,7101500
2018-05-11,119.320000,119.360001,118.820000,119.230003,107.611916,4273400
2018-05-14,118.800003,118.989998,118.589996,118.599998,107.043266,4996200
2018-05-15,117.559998,117.580002,116.699997,117.250000,105.824837,12901000
2018-05-16,117.419998,117.529999,116.790001,116.800003,105.418678,6518000
2018-05-17,116.629997,116.820000,116.089996,116.209999,104.886169,7330300
2018-05-18,116.510002,117.290001,116.510002,117.209999,105.788727,9606500
2018-05-21,117.129997,117.379997,116.949997,117.269997,105.842880,4448500
2018-05-22,117.290001,117.349998,116.849998,117.089996,105.680428,4700700
2018-05-23,117.750000,118.110001,117.660004,117.940002,106.447601,9634000
2018-05-24,118.690002,119.059998,118.639999,118.879997,107.295990,8204100
2018-05-25,119.559998,119.839996,119.470001,119.620003,107.963890,8482800
2018-05-29,120.790001,122.519997,120.430000,122.239998,110.328606,21668100
2018-05-30,121.000000,121.480003,120.739998,121.419998,109.588470,11616300
2018-05-31,121.559998,121.980003,120.949997,121.220001,109.407982,10769900
2018-06-01,120.169998,120.709999,119.849998,120.300003,108.829895,8718800
2018-06-04,120.110001,120.139999,119.370003,119.430000,108.042877,7156500
2018-06-05,119.959999,120.160004,119.620003,119.709999,108.296143,5635900
2018-06-06,119.080002,119.099998,118.419998,118.739998,107.418640,7813300
2018-06-07,118.690002,120.489998,118.680000,119.889999,108.459000,13238300
2018-06-08,119.559998,119.849998,119.440002,119.529999,108.133339,6790600
2018-06-11,119.070000,119.389999,118.940002,119.309998,107.934280,6844200
2018-06-12,118.930000,119.459999,118.889999,119.339996,107.961426,6048200
2018-06-13,119.449997,119.639999,118.629997,119.279999,107.907150,8834700
2018-06-14,119.779999,120.300003,119.480003,120.269997,108.802780,10078800
2018-06-15,120.830002,121.089996,120.300003,120.379997,108.902290,7992800
2018-06-18,120.480003,120.559998,120.040001,120.269997,108.802780,4893700
2018-06-19,120.970001,121.230003,120.699997,120.970001,109.436012,6133300
2018-06-20,120.769997,120.790001,119.900002,119.910004,108.477112,6879100
2018-06-21,120.360001,120.750000,120.220001,120.540001,109.047012,7235800
2018-06-22,120.089996,120.620003,120.059998,120.529999,109.037979,4082500
2018-06-25,120.660004,121.110001,120.639999,120.800003,109.282234,8363700
2018-06-26,120.769997,121.029999,120.660004,120.970001,109.436012,5450000
2018-06-27,121.750000,122.180000,121.550003,122.110001,110.467331,8173400
2018-06-28,122.129997,122.250000,121.830002,122.139999,110.494461,7109500
2018-06-29,122.169998,122.500000,121.650002,121.720001,110.114510,11164700
2018-07-02,121.739998,121.750000,121.290001,121.349998,110.028358,9662000
2018-07-03,121.529999,122.029999,121.529999,122.000000,110.617699,3808800
2018-07-05,122.059998,122.529999,122.010002,122.349998,110.935059,3860400
2018-07-06,122.750000,122.919998,122.480003,122.750000,111.297768,4679900
2018-07-09,122.070000,122.209999,121.900002,121.959999,110.581482,5952700
2018-07-10,121.870003,122.129997,121.809998,121.949997,110.572365,5759700
2018-07-11,122.449997,122.550003,122.089996,122.419998,110.998520,6869100
2018-07-12,122.169998,122.470001,122.139999,122.410004,110.989471,4824700
2018-07-13,122.610001,122.870003,122.470001,122.720001,111.270554,4079000
2018-07-16,122.209999,122.290001,121.639999,122.209999,110.808121,5517100
2018-07-17,122.290001,122.389999,121.900002,121.980003,110.599609,3764300
2018-07-18,122.019997,122.040001,121.389999,121.489998,110.155273,6330000
2018-07-19,121.800003,122.449997,121.769997,122.260002,110.853470,6166700
2018-07-20,121.580002,121.589996,120.699997,120.760002,109.493401,10469500
2018-07-23,120.379997,120.379997,119.180000,119.269997,108.142418,11571800
2018-07-24,119.279999,119.820000,119.139999,119.680000,108.514175,9053500
2018-07-25,120.019997,120.260002,119.260002,119.489998,108.341888,7357900
2018-07-26,119.709999,119.879997,119.160004,119.260002,108.133369,6821100
2018-07-27,119.849998,119.870003,119.400002,119.459999,108.314697,4542000
2018-07-30,118.989998,119.410004,118.970001,119.050003,107.942955,7111200
2018-07-31,119.790001,119.860001,119.559998,119.699997,108.532318,6797400
2018-08-01,118.290001,118.839996,118.070000,118.459999,107.648117,13312600
2018-08-02,118.620003,118.739998,118.300003,118.629997,107.802597,4451100
2018-08-03,118.830002,119.290001,118.809998,119.220001,108.338753,6162400
2018-08-06,119.540001,119.839996,119.269997,119.290001,108.402367,4200200
2018-08-07,119.029999,119.099998,118.570000,118.669998,107.838974,5346900
2018-08-08,118.660004,119.029999,118.610001,118.790001,107.948013,5640900
2018-08-09,119.230003,119.830002,119.120003,119.790001,108.856728,7144100
2018-08-10,120.370003,121.050003,120.279999,120.660004,109.647324,8457900
2018-08-13,120.250000,120.699997,120.209999,120.410004,109.420143,7923200
2018-08-14,120.540001,120.559998,120.029999,120.139999,109.174797,4251200
2018-08-15,120.660004,121.129997,120.570000,120.839996,109.810898,7649800
2018-08-16,120.809998,120.930000,120.279999,120.830002,109.801811,5400400
2018-08-17,121.089996,121.389999,120.750000,120.980003,109.938118,3537600
2018-08-20,121.639999,121.910004,121.540001,121.790001,110.674179,5603700
2018-08-21,121.370003,121.529999,121.070000,121.379997,110.301620,4695000
2018-08-22,122.000000,122.050003,121.580002,121.860001,110.737816,5309600
2018-08-23,122.000000,122.129997,121.779999,122.050003,110.910469,5328700
2018-08-24,121.620003,122.330002,121.489998,122.290001,111.128548,6092200
2018-08-27,121.779999,121.870003,121.519997,121.589996,110.492439,6407400
2018-08-28,121.000000,121.089996,120.680000,120.860001,109.829063,4929300
2018-08-29,120.940002,121.150002,120.620003,121.019997,109.974457,5613300
2018-08-30,121.309998,121.459999,121.080002,121.279999,110.210754,5302900
2018-08-31,121.889999,121.919998,120.889999,121.000000,109.956299,9677500
2018-09-04,119.959999,120.099998,119.750000,120.029999,109.320564,18343600
2018-09-05,119.760002,119.900002,119.550003,119.709999,109.029121,9422600
2018-09-06,119.760002,120.400002,119.690002,120.150002,109.429886,9566000
2018-09-07,119.330002,119.400002,118.989998,119.129997,108.500854,11212600
2018-09-10,119.169998,119.599998,119.169998,119.570000,108.901604,6386400
2018-09-11,119.080002,119.169998,118.599998,118.660004,108.072815,5440000
2018-09-12,119.050003,119.169998,118.900002,118.940002,108.327812,3347200
2018-09-13,119.339996,119.570000,118.980003,119.120003,108.491783,4833000
2018-09-14,118.410004,118.910004,118.300003,118.550003,107.972626,5579500
2018-09-17,118.180000,118.820000,118.120003,118.550003,107.972626,5433000
2018-09-18,118.059998,118.070000,117.160004,117.309998,106.843269,10182300
2018-09-19,117.110001,117.110001,116.190002,116.610001,106.205704,13379600
2018-09-20,116.580002,117.300003,116.470001,117.150002,106.697563,8657300
2018-09-21,116.870003,117.279999,116.839996,117.099998,106.652008,6173800
2018-09-24,116.739998,117.269997,116.720001,116.800003,106.378769,5505500
2018-09-25,116.480003,116.739998,116.400002,116.680000,106.269463,6650900
2018-09-26,116.930000,117.580002,116.660004,117.500000,107.016296,9512700
2018-09-27,117.239998,117.650002,117.099998,117.580002,107.089157,5758500
2018-09-28,117.849998,117.910004,117.220001,117.269997,106.806839,12807700
2018-10-01,116.660004,116.830002,116.120003,116.150002,106.022720,22442400
2018-10-02,116.669998,117.129997,116.599998,116.860001,106.670845,8266900
2018-10-03,116.269997,116.360001,114.239998,114.830002,104.817810,20829200
2018-10-04,114.129997,114.389999,113.709999,114.019997,104.078423,16207400
2018-10-05,113.389999,113.720001,112.620003,113.040001,103.183899,18096500
2018-10-08,112.989998,113.110001,112.639999,112.660004,102.837029,5855900
2018-10-09,113.139999,113.849998,113.070000,113.800003,103.877625,11530800
2018-10-10,113.139999,113.580002,112.790001,113.489998,103.594650,15290100
2018-10-11,114.000000,115.150002,113.790001,114.870003,104.854317,16086800
2018-10-12,114.389999,115.010002,114.279999,114.470001,104.489189,6794100
2018-10-15,114.660004,114.820000,114.290001,114.419998,104.443558,7146300
2018-10-16,114.389999,114.720001,114.160004,114.680000,104.680893,4762300
2018-10-17,114.660004,114.790001,113.980003,114.000000,104.060165,5880700
2018-10-18,113.620003,114.389999,113.550003,113.959999,104.023666,5728800
2018-10-19,113.849998,113.949997,113.410004,113.709999,103.795464,10892400
2018-10-22,113.949997,114.080002,113.529999,113.559998,103.658546,3244200
2018-10-23,114.760002,115.019997,113.839996,113.919998,103.987129,10330700
2018-10-24,114.360001,114.820000,114.239998,114.779999,104.772163,16008000
2018-10-25,114.540001,114.739998,114.230003,114.300003,104.334030,12613200
2018-10-26,114.930000,115.320000,114.790001,114.989998,104.963821,18582500
2018-10-29,114.839996,115.019997,114.260002,114.730003,104.726555,7679900
2018-10-30,114.260002,114.540001,114.019997,114.160004,104.206230,9939500
2018-10-31,113.739998,113.959999,113.209999,113.580002,103.676819,8706400
2018-11-01,112.849998,113.559998,112.839996,113.410004,103.772896,6100200
2018-11-02,113.169998,113.260002,111.900002,112.000000,102.482712,11314800
2018-11-05,112.480003,112.709999,112.349998,112.440002,102.885292,4760200
2018-11-06,112.599998,112.730003,112.330002,112.370003,102.821266,3159900
2018-11-07,113.190002,113.400002,112.410004,112.519997,102.958488,9313100
2018-11-08,112.959999,112.970001,112.410004,112.510002,102.949379,6905100
2018-11-09,112.750000,113.500000,112.720001,113.349998,103.717979,6465300
2018-11-12,113.949997,114.309998,113.910004,114.089996,104.395096,6840000
2018-11-13,113.709999,114.019997,113.480003,114.019997,104.331055,6525800
2018-11-14,113.480003,114.519997,113.300003,114.089996,104.395096,8690800
2018-11-15,114.440002,114.540001,113.680000,114.040001,104.349350,7879600
